Raw Tweets,Clean Tweets,Sentiment
"@jasonolive662 - two words

Cat20 social

https://t.co/GpTV64T6yn",two words Cat20 social,0.03333333333333333
@chriscote954 @Titans @PredsNHL  https://t.co/oCcJaWfyYv,,0.0
@NFL @Titans @packers @Chargers @greggrosenthal @eddiee32_,,0.0
@NHLonNBCSports @NBCSN @Titans #notagreatlook,notagreatlook,0.0
@chriscote954 The @Titans offensive line doing catfish beer luges at the @PredsNHL game!,The offensive line doing catfish beer luges at the game,-0.4
"@bmo54bmo54 @Titans @LarryRoseIII @TitansSouthwest You talked about Rose some pre-draft, right?",You talked about Rose some pre draft right,0.44285714285714284
The Tennessee Titans O-line at the Preds game is my new favorite thing.,The Tennessee Titans O line at the Preds game is my new favorite thing,0.07878787878787878
"We’re pumped to hear that another guest of ours, @LarryRoseIII, signed to play for the @Titans! Way to represent… https://t.co/7KBrohIkPV",We re pumped to hear that another guest of ours signed to play for the Way to represent,0.0
@SNFonNBC @Titans Smh,Smh,0.0
@NFL @Titans @packers @Chargers @greggrosenthal Colts,Colts,0.0
@ColtsHype @Petty__LBJ @NFL @Titans @packers @Chargers @greggrosenthal I mean he's not wrong.,LBJ I mean he s not wrong,-0.03125
@NFL @Titans @packers @Chargers @greggrosenthal Y'all got something twisted.  TWO..  TWO first round talenta in Pay… https://t.co/OFO5Lpqoah,Y all got something twisted TWO TWO first round talenta in Pay,-0.15
@NFL @Titans @packers @Chargers @greggrosenthal Giants,Giants,0.0
@Tlphil4 @NHLonNBCSports @Titans Then boys,Then boys,0.0
@SNFonNBC @Titans @jjshangreaux,,0.0
@NFL @Titans @packers @Chargers @greggrosenthal Better QB?,Better QB,0.5
"That moment when as a @Titans fan, you realize there is no hope next season......
.
.
#NFL #tennessee #titans… https://t.co/CCeuJRoNI1",That moment when as a fan you realize there is no hope next season NFL tennessee titans,0.0
@NHLonNBCSports @Titans @FelkmasterFlex,,0.0
@MarkQuirk1974 @JSCrews4 @NHLonNBCSports @Titans @MikeVrabel After literally every championship players are recorde… https://t.co/Nzxngfwkwm,After literally every championship players are recorde,0.0
Time to cheer for the @Titans my friend @mattycoop2 https://t.co/PcpAltVhVW,Time to cheer for the my friend,0.0
#TennesseeTitans Offensive Line Beer Bongs Beer Out Of A Catfish At Predators Game (VIDEO) #Miami...… https://t.co/iSbGpHeyNZ,TennesseeTitans Offensive Line Beer Bongs Beer Out Of A Catfish At Predators Game VIDEO Miami,-0.4
@NFL @Titans @packers @Chargers @greggrosenthal Y is everybody sleeping on the @redskins.,Y is everybody sleeping on the,0.0
"@barstoolhrtland @Titans If only they had a defense, or receivers, or a team in general. You could never stop the T… https://t.co/tEStvTfY07",If only they had a defense or receivers or a team in general You could never stop the T,0.02500000000000001
@NFL @Titans @packers @Chargers @greggrosenthal #TitanUp this year is ours!,TitanUp this year is ours,0.0
@NHLonNBCSports @Titans @Ky1eLong would you ever do this at a @NHLBlackhawks game?,would you ever do this at a game,-0.4
@glennonsports @Titans This is a nice piece John.  I think we all appreciate Trader Jon.,This is a nice piece John I think we all appreciate Trader Jon,0.6
@NFL @Titans @packers @Chargers @greggrosenthal #TitanUp so pumped for this season,TitanUp so pumped for this season,0.0
@AtlantaFalcons  @Jaguars  @Panthers  @titans  @saints @Colts  @RAIDERS  @packers  @DraftDiamonds  @HoustonTexans… https://t.co/VJuO2K8it3,,0.0
@NHLonNBCSports @Titans Oh. This is what they do while @jaguars play Football. #DUUUVAL,Oh This is what they do while play Football DUUUVAL,0.0
@NFL @Titans @packers @Chargers @greggrosenthal #Titanup baby!!!,Titanup baby,0.0
@CoachVrabel50 hey couch any chance we'll see a video of how the Harold Laundry trade and call went down aswell? (… https://t.co/WOuTKrp8OS,hey couch any chance we ll see a video of how the Harold Laundry trade and call went down aswell,-0.15555555555555559
"@greggrosenthal you have the @titans a top improved team in the draft, yet there was ZERO mention of them in the 2… https://t.co/VBDb2vfgRb",you have the a top improved team in the draft yet there was ZERO mention of them in the 2,0.5
@SamfordFootball @barnyard47 @Titans A very proud congratulations!,A very proud congratulations,1.0
@NFL @Titans @packers @Chargers @greggrosenthal Haven’t even played an NFL game absolutely pointless,Haven t even played an NFL game absolutely pointless,-0.325
@NHLonNBCSports @Titans Respect.,Respect,0.0
@Petty__LBJ @NFL @Titans @packers @Chargers @greggrosenthal  https://t.co/7H0lkOu2hL,LBJ,0.0
@SNFonNBC @Titans @rustybaxt,,0.0
@cbarghout @MitchPeacock1 @Titans I agree with ya..  Plainly the dumbest and gross thing ever.. Ugh,I agree with ya Plainly the dumbest and gross thing ever Ugh,-0.10714285714285714
@NHLonNBCSports @Titans That is awesome!!!!!!,That is awesome,1.0
Hell ya @Titans ! https://t.co/VecAp0FxOC,Hell ya,0.0
@NFL @JerseyAlGBP @Titans @packers @Chargers @greggrosenthal @ObiSec,,0.0
@NFL @Titans @packers @Chargers @greggrosenthal You high? https://t.co/oFO7jlXBXC,You high,0.16
@damnitsdevin @NFL @glennonsports @Titans @packers @Chargers @greggrosenthal I like both the corners we got,I like both the corners we got,0.0
@NFL @Titans @packers @Chargers @greggrosenthal PACK NATION,PACK NATION,0.0
@Petty__LBJ @NFL @Titans @packers @Chargers @greggrosenthal  https://t.co/976HHz0XbV,LBJ,0.0
"@Petty__LBJ @NFL @Titans @packers @Chargers @greggrosenthal Uh yeah, but, well, uh..... Nope.",LBJ Uh yeah but well uh Nope,0.0
@RobertBuonomo @NFL @Titans @packers @Chargers @greggrosenthal Just like brackets,Just like brackets,0.0
"LOOK: The Tennessee Titans' offensive line used a catfish as a beer luge at Predators game

https://t.co/FFWIx7iKLx",LOOK The Tennessee Titans offensive line used a catfish as a beer luge at Predators game,-0.4
@NFL @glennonsports @Titans @packers @Chargers @greggrosenthal @VARDaaaaamn 👀,,0.0
@Titans #Titanup Baby.,Titanup Baby,0.0
LOOK: The Tennessee Titans' offensive line used a catfish as a beer luge at Predators game https://t.co/blRAElsPAa https://t.co/6uZeH51mrL,LOOK The Tennessee Titans offensive line used a catfish as a beer luge at Predators game,-0.4
@NFL @Titans @packers @Chargers @greggrosenthal #GoHawks https://t.co/ItPaqD5T7j,GoHawks,0.0
@xoholly I was actually thinking of going to Tennessee for the Eagles vs Titans game.,I was actually thinking of going to Tennessee for the Eagles vs Titans game,-0.2
@NFL @Titans @packers @Chargers @greggrosenthal As pointless as the mock drafts that were all wrong,As pointless as the mock drafts that were all wrong,-0.375
"@NHLonNBCSports @Lanejohnson65 @Titans team building activities*  As long as everyone was safe, this isn't a bad thing.",team building activities As long as everyone was safe this isn t a bad thing,-0.08333333333333327
