Raw Tweets,Clean Tweets,Sentiment
Congratulations to P Keith Wrzuszczak on his mini camp invitation with the @Colts! @keithwrzuszczak #FireTheCannon https://t.co/W8q9THgLiM,Congratulations to P Keith Wrzuszczak on his mini camp invitation with the FireTheCannon,0.0
#Colts Indianapolis Colts Select 11 Players In 2018 NFL Draft https://t.co/Bnx4H2fJ6L #NFL,Colts Indianapolis Colts Select 11 Players In 2018 NFL Draft NFL,0.0
@dsleon45 @Colts Welcome to the Colts!  We're excited to see you play.,Welcome to the Colts We re excited to see you play,0.5875
We are proud to announce that @StonyBrookFB's very own safety Chris Cooper (@_CCoope7) has officially joined the… https://t.co/S74h9UXcpI,We are proud to announce that s very own safety Chris Cooper CCoope7 has officially joined the,0.79
Zaire Franklin ‘14 - former Captain of PCL Champion #LaSalleFootball Team &amp; 3-time Captain of @CuseFootball is read… https://t.co/Of1Mzy0aDy,Zaire Franklin 14 former Captain of PCL Champion LaSalleFootball Team amp 3 time Captain of is read,0.0
@DaRealMonieLove @Pacers @cavs @Colts Ha fantastic! 🙌🐎,Ha fantastic,0.4
@AaronHerndon @madmanRBcoach @RossTuckerNFL @Colts Next starting QB for the colts!,Next starting QB for the colts,0.0
@_ThePressPass  breaking news : Indianapolis Colts sign free Agent Quarterback JT Barrett. Ohio State. Probably replacement for A Luck,ThePressPass breaking news Indianapolis Colts sign free Agent Quarterback JT Barrett Ohio State Probably replacement for A Luck,0.4
Congrats to Mike Cirino for getting a mini camp invite by the Indianapolis @Colts #u48combinetraining #u48 #nflbound https://t.co/xlGdGbZlBM,Congrats to Mike Cirino for getting a mini camp invite by the Indianapolis u48combinetraining u48 nflbound,0.0
@Trip7Soul @Pacers @cavs @Colts In not Pacers fan however I AM a @Colts fan and have always been,In not Pacers fan however I AM a fan and have always been,0.0
https://t.co/58YuYClwMd,,0.0
I am PROUD of my @Colts for their draft picks late.,I am PROUD of my for their draft picks late,0.25
Indianapolis Colts Draft Grades: Rounds 1 and 2 #ColtsNation  https://t.co/BdcTYWJgBt https://t.co/XE77LPzfLe,Indianapolis Colts Draft Grades Rounds 1 and 2 ColtsNation,0.0
@MikeCirino_ @Colts congrats bruh! ball out #jucoproduct,congrats bruh ball out jucoproduct,0.0
Colts Players Announce Draft Picks From Sports Legends Experience - Yardbarker https://t.co/xqiGgbgQdZ,Colts Players Announce Draft Picks From Sports Legends Experience Yardbarker,0.0
Indianapolis Colts Draft Grades: Rounds 1 and 2 - Yardbarker https://t.co/e5TDCAPQcP,Indianapolis Colts Draft Grades Rounds 1 and 2 Yardbarker,0.0
Check out my guy Chris Cooper https://t.co/x5J5J4SKki,Check out my guy Chris Cooper,0.0
Check out my guy Chris Cooper... https://t.co/DQ3Zxf0DXY,Check out my guy Chris Cooper,0.0
@TheRealAFP @Colts To my knowledge Western PA has 7 that got the call this weekend. 3 drafted and 4 FA.,To my knowledge Western PA has 7 that got the call this weekend 3 drafted and 4 FA,0.0
"@Brian_Fuller7 @jwick23 @TitoFatanastri1 @Colts Well, there are no sure things, but it’s all about the prospect and… https://t.co/KIhLuUI87R",Fuller7 Well there are no sure things but it s all about the prospect and,-0.25
.@ConcordFootball's Jeremiah Johnson Signs Free Agent Deal with Indianapolis Colts https://t.co/JxQPWlon9c,s Jeremiah Johnson Signs Free Agent Deal with Indianapolis Colts,0.4
"Here are the Colts' draft grades for the first two rounds.
https://t.co/NQhzurQiT5",Here are the Colts draft grades for the first two rounds,0.25
