Raw Tweets,Clean Tweets,Sentiment
@LawyerMilloy @NFL_DovKleiman @Seahawks I love @LawyerMilloy and am a Seahawks season ticket holder.  Did you bothe… https://t.co/qTPDr2w2C0,DovKleiman I love and am a Seahawks season ticket holder Did you bothe,0.5
@Seahawks @Shaquemgriffin The Hype! I’m excited for this upcoming season,The Hype I m excited for this upcoming season,0.375
Made my weekend! @Seahawks @Shaquemgriffin https://t.co/8YVGAm8iZV,Made my weekend,0.0
@HulkHogan @ShaquillG @Shaquemgriffin @Seahawks How could anyone not love this story? I'm so amped to see what… https://t.co/N2iNPU28C7,How could anyone not love this story I m so amped to see what,-0.25
@BSUsportsreport @Seahawks @49ers @RamsNFL @AZCardinals @Patriots @buffalobills @MiamiDolphins @nyjets… https://t.co/qMrdBCs1Xk,,0.0
@Turfthedog @Seahawks  https://t.co/8KuwRLj1j6,,0.0
Celebrating our 12th anniversary the same year we’re moving back to the Seattle area. It’s all coming together.… https://t.co/tMae8BI23E,Celebrating our 12th anniversary the same year we re moving back to the Seattle area It s all coming together,0.0
@JackPhan @Seahawks @Shaquemgriffin I agree with you 100%. I started following Shaquem a few days ago and saw this… https://t.co/NaHmDZCFck,I agree with you 100 I started following Shaquem a few days ago and saw this,-0.1
Apparently 2018 is the year of brothers becoming teammates on Seattle sports franchises. You have Alex and Cristian… https://t.co/ZvH2x7tIR2,Apparently 2018 is the year of brothers becoming teammates on Seattle sports franchises You have Alex and Cristian,0.25
https://t.co/dSwHxgyxIi I just became a full on Football fan because the Seattle Seahawks just drafted Shaquem Grif… https://t.co/HT8SsT7HBr,I just became a full on Football fan because the Seattle Seahawks just drafted Shaquem Grif,0.35
@Meganomics5000 @Seahawks @Shaquemgriffin I'll get one,I ll get one,0.0
Seattle Seahawks take former De La Salle and Ohio State lineman Jamarco Jones in fifth round of NFL draft… https://t.co/JVrFvQn0dd,Seattle Seahawks take former De La Salle and Ohio State lineman Jamarco Jones in fifth round of NFL draft,-0.1
@Thatboylid80 @Seahawks Welcome to Seattle. #GoBlue #Seahawks #12thMan,Welcome to Seattle GoBlue Seahawks 12thMan,0.8
"@Seahawks maybe you can make a trade for @Tyrellcrosby!
Going to be a stud for next 10 years @DuckFootball https://t.co/fC4YdMlUsF",maybe you can make a trade for Going to be a stud for next 10 years,0.0
@inbury @sshawks @Seahawks Boom!,Boom,0.0
What is his jersey number?  Because I’ll be wearing it.  #seahawks @Seahawks @Shaquemgriffin https://t.co/IBeBibIcUC,What is his jersey number Because I ll be wearing it seahawks,0.0
@Seahawks @young_kiv He should have ran the ball instad of pass it.,kiv He should have ran the ball instad of pass it,0.0
@larryblustein @Shaquemgriffin @ShaquillG @UCF_Football @Seahawks @560WQAM @SFHSSports Much respect for a motivated young man!,Football Much respect for a motivated young man,0.15000000000000002
Shaquem Griffin reacts #to being drafted by the Seattle #Seahawks | ESPN https://t.co/3VWqQ6vOQn https://t.co/pzWhPmeuLP,Shaquem Griffin reacts to being drafted by the Seattle Seahawks ESPN,0.0
@Seahawks @ShaquillG @Shaquemgriffin Need a jersey with both numbers on it!  Welcome to PNW!,Need a jersey with both numbers on it Welcome to PNW,0.8
@BrevardSurfer @Seahawks @Jaguars Yep.,Yep,0.0
